theta,omega,alpha,theta_next,omega_next,trajectory_id,split
-0.788287681898749,0.4474115788895179,0.0,-0.7834390061857195,0.5222631384283076,0,train
-0.7834390061857195,0.5222631384283076,7.466548298051071,-0.7778437241813483,0.5967231694051659,0,train
-0.7778437241813483,0.5967231694051659,7.4244905616753725,-0.7715060421975545,0.6707333664841089,0,train
-0.7715060421975545,0.6707333664841089,7.376571754039407,-0.7644307527030816,0.7442347939005931,0,train
-0.7644307527030816,0.7442347939005931,7.322725978553512,-0.7566232409062472,0.8171678311736185,0,train
-0.7566232409062472,0.8171678311736185,7.262882339000804,-0.7480894918368898,0.8894721277058653,0,train
-0.7480894918368898,0.8894721277058653,7.196965873579246,-0.7388360978341388,0.961086567164598,0,train
-0.7388360978341388,0.961086567164598,7.124898576323303,-0.7288702663379005,1.0319492424959478,0,train
-0.7288702663379005,1.0319492424959478,7.04660050154848,-0.7181998278736563,1.101997442377946,0,train
-0.7181998278736563,1.101997442377946,6.961990946215239,-0.7068332441123854,1.1711676498626336,0,train
-0.7068332441123854,1.1711676498626336,6.870989704297119,-0.6947796158802296,1.2393955538941117,0,train
-0.6947796158802296,1.2393955538941117,6.773518386366077,-0.6820486909860062,1.3066160743169462,0,train
-0.6820486909860062,1.3066160743169462,6.669501796684764,-0.6686508717289276,1.3727634009074414,0,train
-0.6686508717289276,1.3727634009074414,6.558869359130649,-0.6545972219440171,1.4377710468685991,0,train
-0.6545972219440171,1.4377710468685991,6.441556582284352,-0.6398994734387985,1.5015719171278796,0,train
-0.6398994734387985,1.5015719171278796,6.317506553010176,-0.624570031671996,1.5640983916651594,0,train
-0.624570031671996,1.5640983916651594,6.186671446859562,-0.6086219805233107,1.625282423976704,0,train
-0.6086219805233107,1.625282423976704,6.0490140426591665,-0.5920690860029244,1.6850556546499498,0,train
-0.5920690860029244,1.6850556546499498,5.904509227727989,-0.5749257987503281,1.7433495398840513,0,train
-0.5749257987503281,1.7433495398840513,5.753145479327805,-0.5572072551744569,1.8000954946434116,0,train
-0.5572072551744569,1.8000954946434116,5.594926307214632,-0.5389292770910051,1.855225049976936,0,train
-0.5389292770910051,1.855225049976936,5.42987164155374,-0.5201083697182648,1.9086700238759968,0,train
-0.5201083697182648,1.9086700238759968,5.258019150014199,-0.5007617178999161,1.9603627048807817,0,train
-0.5007617178999161,1.9603627048807817,5.079425467598259,-0.48090718043192293,2.0102360474798195,0,train
-0.48090718043192293,2.0102360474798195,4.894167322711655,-0.46056328238106486,2.05822387818325,0,train
-0.46056328238106486,2.05822387818325,4.702342543166,-0.4397492052946368,2.1042611109892992,0,train
-0.4397492052946368,2.1042611109892992,4.504070926244447,-0.41848477521443905,2.1482839708080483,0,train
-0.41848477521443905,2.1482839708080483,4.299494957671847,-0.39679044842327965,2.190230223259718,0,train
-0.39679044842327965,2.190230223259718,4.08878036532228,-0.37468729486872865,2.2300394091291653,0,train
-0.37468729486872865,2.2300394091291653,3.8721164947745472,-0.35219697922666543,2.267653081636981,0,train
-0.35219697922666543,2.267653081636981,3.649716495388729,-0.32934173958609403,2.3030150445832676,0,train
-0.32934173958609403,2.3030150445832676,3.421817307415789,-0.3061443637565802,2.3360715893356,0,train
-0.3061443637565802,2.3360715893356,3.188679442751078,-0.28262816322028134,2.366771728570264,0,train
-0.28262816322028134,2.366771728570264,2.9505865542783964,-0.2588169447716593,2.395067424637901,0,train
-0.2588169447716593,2.395067424637901,2.7078447912922705,-0.23473497990933723,2.4209138104129786,0,train
-0.23473497990933723,2.4209138104129786,2.4607819411948744,-0.21040697206590964,2.444269400502566,0,train
-0.21040697206590964,2.444269400502566,2.2097463604949414,-0.18585802178256097,2.4650962907346394,0,train
-0.18585802178256097,2.4650962907346394,1.955105701039353,-0.16111358995580055,2.4833603439200775,0,train
-0.16111358995580055,2.4833603439200775,1.6972454403283945,-0.13619945930318886,2.499031359985481,0,train
-0.13619945930318886,2.499031359985481,1.4365672276450692,-0.11114169421332565,2.512083228705261,0,train
-0.11114169421332565,2.512083228705261,1.173487060507369,-0.08596659916231607,2.5224940634197908,0,train
